ID,案件名,職種,技術スキル,金額,勤務地,案件概要,開発環境,募集条件
T260116-0015,【React・フルリモート】新規サービス Webアプリケーション開発（フロントエンド）,フロントエンドエンジニア,React,〜67万,フルリモート,アフィリエイトサービスを主軸とする企業にて、新規サービスのWebアプリケーション開発をご担当いただきます。フロントエンドエンジニアとして、設計から開発・リリースまで一貫して関与いただく想定です。フロントエンド設計、工数見積り、開発〜リリース対応を担っていただきます。,,"Reactを用いた開発業務経験（3年以上）, デザイン実装のご経験, 開発リード経験"
T260116-0016,ExcelVBA維持保守,システムエンジニア(SE),ExcelVBA,32-35万,新座,既存案件の進捗確認、課題管理、業務改善の提案、維持保守,,ExcelVBAでの実務経験（開発経験は無くても可）
T260116-0017,インフラ運用監視案件,インフラエンジニア,"サーバ運用監視, Linux",35-43万,三鷹,インフラに関する運用監視、定型作業、障害対応、ジョブ運用、サーバー操作、アラート監視、インシデント初期対応、定期リブート等の定型業務対応,,"サーバ運用監視経験, Linuxの基本コマンド/操作ができる方（実務経験あり）, 24時間365日のシフト勤務経験があり、かつ本案件で以下のシフト勤務が可能な方, コミュニケーション能力(直接、顧客への電話もあり), 外国籍不可, 月の稼働時間は150～160H程度で残業は無し"
T260204-0113,企業保険システム刷新／DB物理設計,DBA,,~75万,三鷹 / リモート可（週1〜）,大手生命保険会社の企業保険システム刷新プロジェクトにおいて、契約マスタを中心としたDB物理設計（DBA領域）を担当し、現行調査を含む要件定義以降の工程に参画いただきます。,,"＜必須＞・DBA領域での設計・構築経験3年以上
＜尚可＞・生命保険の基本業務知識
・外国籍不可"
T260204-0114,RPA／Power Automateによる業務効率化支援,ITコンサルタント,Tableau,〜70万まで,浜松町 / 常駐（Plus10）,金融業向け開発支援作業、業務効率化支援(RPA化),PowerAutomate、Power BI、Tableauなど,"・RPAツールによる業務効率化経験がある方。
　　　　　　・PowerAutomate利用経験がある方。
　　　　　　・保険業界で業務効率化経験がある方。
　　　　　　・複数回継続して短期案件へ参画していない方。
　　　　　　※Power BIのご経験があれば尚可。
　　　　　　※Tableauのご経験があれば尚可。
　　　　　　※保険の業務知識があれば尚可。"
T260204-0115,Java／SSO認証基盤 新規構築（基本設計～リリース）,システムエンジニア(SE),"Java, JSP, AWS",〜90万まで（スキル見合い）,浜松町 / 常駐（Plus10）,金融業向け開発支援作業。販売支援システム、契約管理システムの新規構築（基本設計～リリース）。,Java、JSP、HTML、CSS、 AWS、VSCode、GitLabなど,基本設計書の新規作成経験がある方。SSOの開発経験がある方。コミュニケーション能力が高い方。リーダーまたはサブリーダーのご経験がある方。認証基盤に強く、設計メンバーの中心となれるような方。複数回継続して短期案件へ参画してない方。Javaが書けて尚且つ認証に理解がある方。実装専業で、資料作成や説明ができる方。生体認証の導入経験があれば尚可。生命保険システムの開発経験があれば尚可。
T260204-0101,クラウド基盤構成サーバに関する設定、変更業務,クラウドエンジニア,"OpenStack, Kubernetes",～65万円,五反田 / リモート可（週1〜）,仮想サーバ提供サービスのクラウド基盤を構成するサーバ群について、以下作業を実施 - 新規要件の概念実証 - 基本設計および詳細設計、サーバー構築作業 - 保守フェーズにおける各種作業（突発工事、アップデート、増減設等）,,RHELの構築経験3年以上、RHELの設計経験、Oficce製品をビジネスレベルで利用できる方、コミュニケーション力がある方。尚可：OpenStack/Kubernetes/OpenShift/Ansible/Gitの経験がある方。外国籍不可、50代前半くらいまで。
T260116-0020,基幹システムのリニューアル,システムエンジニア(SE),"Java, SpringFramework, React, MySQL, AWS",,新宿御苑,基幹システムにおいて、保険管理や管理会計領域を対象としたシステムリニューアルを行うプロジェクトです。PM/PLが作成した要件定義書およびリニューアル前の既存システムを読み解き、設計および実装フェーズをご担当いただきます。,Java、SpringFramework、React、MySQL、AWS,"Java+DBのWebシステム開発経験, SpringFrameworkの経験（尚可）, 要件定義書を読み解いて、設計～実装までができるレベル, 外国籍NG, ～40歳までを希望"
T260116-0021,自社サービスのデザイナー,UI・UXデザイナー,"UI/UXデザイン, Webデザイン, モバイルアプリデザイン, デザインシステム設計, ECサイト経験, デザインチームリード, マネジメント",70万,六本木一丁目（基本リモート）,EC事業サービスにおけるUIUXデザイン業務全般、画面設計、デザイン制作および改善提案、デザインコーディングおよび既存画面の改修、開発・企画・運営チームと連携したデザイン業務の推進,,WebまたはモバイルアプリなどのUI/UXデザイン経験（3年以上）、デザインシステムの設計および運用経験（1年以上）、ECサイトに関わった経験、デザインチームのリード/マネジメント経験、外国籍NG、地方NG、18禁一部あり、ポートフォリオ提出必須
T260116-0022,Xサーバ更改プロジェクト,クラウドエンジニア,"AWS, IaC, CloudFormation, Terraform, CDK",800000-850000,川崎,IoT機器とバックエンド間をセキュアに接続するための VPN・認証システム（Xサーバ）更改 に伴う、AWS基盤およびアプリケーションの要件定義〜構築・テストを担当いただく案件です。,AWS,"AWSでの設計・構築経験, IaC（CloudFormation / Terraform / CDK いずれか）を用いた構築経験"
T260204-0102,大手金融情シス部門でのIT事務,ヘルプデスク,,〜30万円,竹橋 または 神保町 / リモート可（週1〜）,"大手企業の基盤運行業務を支える情報システム部門での事務支援です。まずは正確な事務作業と明るいコミュニケーションが重視されます。IT業界での経験を積んでいきたい意欲的な要員さまにおすすめです。
１.基盤運行業務 ・手続き・依頼・申請作業: システム入力、ベンダー向け貸出・入館・入室申請 ・ラインセンス管理: ライセンス情報の登録・更新、週次打合せ出席
２.一般事務業務 ・起案・契約手続き・検収処理: ワークフロー登録、書類捺印手続き・送付 ・ソフトウェア管理: 台帳管理、ライセンス利用申請処理
３.総合 ・その他: 電話受付、会議室予約、会議招集、庶務全般",,"Excel,Word 基礎～応用レベル、基本的なIT用語の理解
ビジネス文書作成、電話応対など接遇経験
多くの方とコミュニケーションよく対応いただける方。
ライセンス管理のご支援など、事務処理を正確に迅速にこなせる方を希望します。
外国籍不可"
T260204-0103,案件,インフラエンジニア,AWS,70万円前後,西新宿 / リモート可（週1〜）,AWSのインフラ要員の募集になります,,EC2、Aurora実務経験。AWS環境における基本設計の経験 (詳細設計できる方で基本設計も考えられる方であれば可)。コミュニケーション能力の優れた方。ヒアリング能力の優れた方。
T260129-0347,大手フードデリバリー案件,プロジェクトマネージャー,"Swift,Kotlin,ReactNative,JavaScript,React,AngularJS,Vue.js,Java,PHP,Node.js,Oracle,MySQL,AWS,Linux",90万円〜100万円,新宿駅 / リモート可（週1〜）,"アクティブユーザー数約800万人を超えるフードデリバリーサービスのプロジェクトマネージャー業務または、その補佐をお任せします。
エンドユーザー、加盟店（レストラン）、配送員、各プロダクトを横断するプラットフォーム、それぞれに向けたプロダクト開発において特に大規模なプロジェクトや事業戦略上、重要なプロジェクトを横断的にマネジメントいただくお仕事です。

【具体的には】
・サービス要求を満たし事業を進めるための開発項目の優先順位付け
・プロジェクトマネジメント
　- スケジュール/リソース/タスクの明確化とマネジメント
　- 品質マネジメント
　- リスクマネジメント
　- プロジェクト透明性のための定期的なレポーティング）
・トラブルシューティング（チームやステークホルダーを巻き込みながら、解決のリード）
・生産性向上のための業務支援（プロセス改善、会議主催など）","・Swift、Kotlin、React Native
・JavaScript、CSS、React、AngularJS、Vue.js
・Java、PHP、Go、Node.JS
・Oracle、MySQL、Redis、Elasticsearch
・Apache、Tomcat
・AWS、VMware
・Linux（Red Hat、CentOS）
・ITS（Redmineなど）
・SCM（Git、Subversion）
・CI（Jenkins）","■必須スキル
・ソフトウェア開発プロジェクトマネジメント、またはPMO経験（目安3年以上）
・多様な関係者の主張や状況を理解、整理しながら議論をファシリテートし、合意形成をリードできる能力

■尚可スキル
・PMBOKの知見、またはPMPの資格保有者
・BtoCまたはBtoB事業の新規サービス立上げや既存サービス拡張における、プロジェクトの管理経験
・大規模案件のマネジメント経験
※大規模案件の定義は下記項目の複数、またはいずれにかに該当するものを指す
　- PJの人数が30名以上
　- 予算規模が1億円以上
　- PJの人月が100人月以上

■求める人物像
・長期で参画して頂ける方希望　※1年以上
・自分事で業務を進め、最後までやりきれる方
・コミュニケーションを大切にしている方"
T260204-0104,研究機関の研究用サーバ、ネットワーク機器の運用保守,インフラエンジニア,"Linux,ファイヤーウォール",スキル見合い,つくば駅バス20分 / 常駐（Plus10）,"研究用サーバ（計算用サーバ、DBサーバなど） Linux RHEL系が中心、DBもPostgreSQL、MariaDBなども ネットワーク機器（Firewall、負荷分散装置、VPN、スイッチ） FORTINET, F5, HPE Aruba Networking, AlaxalAなど
∟担当領域：サーバシステム、ネットワークシステム全般
∟担当工程：オペレーション
∟使用環境（ネットワーク機器、サーバなど）：Mail, DNS, Web, CloudStack, Lustre, FortiGate, BIG-IP, eduroam, ems, Grafana, AXNMなど
∟以前ご依頼いただいていた「研究機関のインフラシステムの運用ポジション」と同様のお客様先となります。","Mail, DNS, Web, CloudStack, Lustre, FortiGate, BIG-IP, eduroam, ems, Grafana, AXNMなど","・Linuxに関する知識
・障害対応経験豊富な方(大規模だと尚良し)
・インフラ経験7年以上(設計構築経験もあれば尚良し)
・自分からいろいろ動ける方、コミュニケーションが取れる方を募集
1) ネットワーク機器及びSINETに設置されたネットワーク機器の設定に関する知識を有すること。
2) メールサーバ、DNS サーバ、LDAP サーバの設定経験を有すること。
3) ネットワーク障害発生時の原因の調査及び対策を実施できること。"
T260116-0025,PMO/損保/4月～/立川,PMO,"PMO, 損保社員支援, 生保システム開発",,立川,社員支援（オープン系）。工程：要件定義、基本設計～システムテスト。,,PMO、損保社員支援経験者。尚可：生保システム開発経験。外国籍不可。
T260116-0026,Officeリプレイスに伴うNotesアプリ動作検証,システムエンジニア(SE),"Notesアプリ開発, EXCEL",650000,さいたま新都心,顧客端末内に導入されたOfficeのリプレースに伴うNotesアプリケーションの動作検証（調査フェーズ）となります。主にNotesからEXCEL書き出し/取り込み機能（対象機能の洗い出しは完了）の動作検証となり、動作不備機能に関しては次フェーズにて改修を行います。作業は全てお客様先を想定しております。,,"Notesアプリ開発（設計、開発、テスト）経験(3年以上）, NotesからのEXCEL書き出し/取り込みに関する開発経験がある事が望ましい, 外国籍:不可"
T260204-0105,Goエンジニア,バックエンドエンジニア,"Go言語, TypeScript",スキル見合い,麹町駅 / 常駐（Plus10）,トレーディングカードのECプラットフォームを運営する企業にてバックエンドエンジニアとして設計/開発/品質改善をお任せします。コーディングの工程を原則廃止しており、AI を活用した開発を前提としておりスピード感のある運営を実現しております。,,＜必須＞ ・Go を利用した開発・運用経験2年以上 ・Typescript を利用した開発・運用経験2年以上 ・Claude Code、Cursor といったAI 開発支援ツールを利用した開発経験 ・クラウド環境でのシステム構築・運用経験 ＜尚可＞ ・パフォーマンスを改善した経験 ・コードレビュー（レビュアー／レビュー対応）の実務経験 ・Claude Code、Cursor といったAI 開発支援ツールを用いた開発に強い興味がある
T260204-0106,Flutterエンジニア,アプリエンジニア,Flutter,スキル見合い,麹町駅 / 常駐（Plus10）,トレーディングカードのECプラットフォームを運営する企業にてモバイルエンジニアとして設計/開発/品質改善をお任せします。コーディングの工程を原則廃止しており、AI を活用した開発を前提としておりスピード感のある運営を実現しております。,"AI 開発支援ツール (Claude Code, Cursor)",Flutter を利用した開発・運用経験3年以上、Claude Code、Cursor といったAI 開発支援ツールを利用した開発経験が必須。パフォーマンス改善、コードレビュー経験、AI開発支援ツールへの強い興味は尚可。年齢制限：～45歳まで(相談可)、外国籍不可。
T260116-0028,大手SaaS領域 お店の経営サポートサービス,アプリエンジニア,"UIKit, SwiftUI, Swift Concurrency, Git, GitHub, Figma, REST API, Firebase, Bitrise, ユニットテスト, UIテスト, UI/UX, パフォーマンス最適化, リファクタリング, Swift Package Plugin, iOS, Android, MVVM, MVP, MVCP",70-75万,リモート,店舗の経営サポートアプリケーションの機能追加開発、運用保守,,"必須スキル: UIKitおよびSwiftUIの両方を用いた開発経験 (既存のUIKitコードを読み解きつつ、SwiftUIでの実装・置換ができる方), Swift Concurrencyを用いた実務経験, Git / GitHub を用いたチーム開発・コードレビュー経験, Figma 等のデザインツールを用いた、デザイナーとの協業経験, REST APIまたはそれに準ずるものを使用した非同期通信処理と画面の開発経験。尚可スキル: Firebaseを用いたアプリ開発・運用経験, CI/CDツール（Bitrise等）を利用した継続的デリバリーの経験, ユニットテストまたはUIテストの作成・運用経験, UI/UXの改善提案およびパフォーマンス最適化の経験, SwiftUIへの移行プロジェクトや大規模なリファクタリングの経験, Swift Package Pluginやビルド設定に関する知見, 大規模ユーザー向けアプリの開発・運用経験, iOS以外の分野（Android等）でのスマートフォンネイティブアプリ開発の実務経験, MVVM, MVP, MVCP等のアーキテクチャに則った開発経験, App Store公開中アプリにおける新旧バージョンの後方互換性やリリース順序を考慮した設計レビューおよび開発経験。その他条件: 3月～長期（前倒し相談可）, 定時10時～19時（週5必須・土日祝休み）, 精算140h-200h（中間割）, 面談1回（Web）, 1名募集, 外国籍NG。"
T260116-0029,海外事業スタートアップバックエンドエンジニア,バックエンドエンジニア,"Python3, LL言語, RESTful API, クラウド, サーバーレス, コードレビュー, Git, MySQL, RDB, xUnit, AWS, DNS, load balancer, firewall, security group, routing table, network, terraform, パフォーマンスチューニング, OOP, Functional Programming, アルゴリズム, Docker, CI/CD, データ分析, ML, スクラム開発, ビッグデータ",80-90万,リモート（東京駅）,新規事業開発室の海外事業スタートアップエンジニア AWSを基盤としての開発 ・iOSアプリから接続されるAPIの開発 ・大規模データを取り扱うデータパイプラインの構築 ・各種インフラ構築,"AWS, Docker, Git, CI/CD","BEとしてAPI・バッチ実装のご経験が豊富, ～35歳まで, 外国籍NG"
T260116-0030,電子チケットサービスまたはクライアントイベントWEBデザイン,Webデザイナー,"アイソメ図制作, WF設計, LPデザイン, 広告素材制作, SNS素材制作, 販売促進物デザイン, サービス資料デザイン, パンフレットデザイン, HTML, CSS, 改修, 保守運用",40万,恵比寿駅,電子チケットサービスまたはクライアント主催のイベントにおけるWEBデザイン業務。デザイナーポジションとコーダーポジションの募集。,,デザインとコーディング共に対応可能な方尚可。〈デザイナーポジション〉アイソメ図の制作、各サービスサイト（LP含む）におけるデザイン、WF設計、保守運用、広告・SNS用素材の制作、販売促進物のデザイン・制作、サービス資料・パンフレットのデザイン制作業務。〈コーダーポジション〉HTML/CSSをメインにコーディング、公開後の改修、文言修正、スタイル調整などの保守運用対応経験。年齢制限：25～40歳まで。貴社所属個人事業主・社員まで。外国籍NG。
T260116-0031,VBAツール開発、WEBシステム保守業務のITD業務,プロジェクトマネージャー,"VBA, Webシステム開発, 要件定義, 工数見積, スケジュール管理, チームリーダー",80-90万,"リモートワーク, 大崎",VBAツール開発、WEBシステム保守業務など複数システムに対して事業側との調整を行い、決定内容を開発チームへのインプット、開発進捗管理などを実施する。既存ITDのフォローも行うため、ITD業務未経験でも可能。,,"WEBシステム開発経験2年以上, 開発上流経験, チームリーダー経験, 関東圏在住, 外国籍NG"
T260116-0032,自社サイトの施策設定・CRM運用案件,Webマーケター,"ECサイト運用, ecbeing, Excel, Access Runtime",35万,代々木駅,自社ECサイトの運営を支える「CRM・施策設定」のポジションです。 マーケティング担当の指示のもと、キャンペーン設定やクーポン発行、ポイント付与などの実務を一手に担っていただきます。〈作業詳細〉施策の設定・検証（ecbeing CMS+使用）： キャンペーン内容が意図通りに動作するか、まずはステージング環境でテスト設定。問題なければ本編環境へスケジュール通りに反映させます。クーポン・ポイント運用： クーポンの発行・付与、対象会員グループの作成。バースデーポイントの付与設定や、イレギュラー時の個別クーポン発行対応など。ツールを用いたデータ抽出：Access RuntimeやExcelを使用し、手順に沿って必要なデータを抽出・集計します。レポート作成：月末の定型レポート作成（現在自動化を進めているため、作業負担は軽減中です）。,"ecbeing CMS+, Access Runtime, Excel","ECサイトの運用経験, ecbeing利用経験, 基本的なExcel操作, 前向きな姿勢, 慎重さ, 外国籍NG"
T260116-0033,生活インフラ系Webサイトの運用保守ディレクション業務,Webディレクター,"システム運用保守, Web開発, GA4, 受入テスト, 調整・折衝",60-90万,新橋,生活インフラ系Webサイトにおいて、運用保守フェーズのディレクション業務をご担当いただきます。主な業務は、運用保守案件の進行・管理、インシデント対応の管理をはじめ、受入テストにおける観点表の作成など多岐にわたります。関係各所と連携しながら、安定したサイト運用を推進できる方を求めています。,,必須スキル：＜技術面＞・システム運用保守に関する実務経験・Web開発全般に関する基礎的なエンジニア知識・関係者との調整・折衝を行った経験＜スタンス面＞・関係者との円滑なコミュニケーションを重視できる方・指示待ちではなく、自ら課題を見つけ主体的に行動できる方尚可スキル：・GA4などのアナリティクスツールを活用した効果測定の経験・受入テストの実務経験時期：1月～長期（前倒し不可）定時：09時00分～18時00分（週5必須・土日祝休み）商流：元請け→弊社場所：新橋（常駐）※リモートワーク時はカフェなどオープンな場所はNG精算：140h-180h（中間割）面談：2回（1回目アリス同席）※web面談人数：1名外国籍：NG備考：関東圏在住の方のみの募集とさせていただきます。
T260116-0034,【VB.net/ASP.net】某業界向けシステム開発,システムエンジニア(SE),"VB.net, ASP.net, C#.net",60～100万,北海道,民間企業向けシステム開発（既存システム or 新規システム）、システム保守開発関連。基本設計～詳細設計～製造～テスト。,,VB.net開発経験（複数年～）、ASP.net開発経験（複数年～）。尚可スキル：C#.net、上流工程開発経験。年齢不問。複数名募集。
T260116-0035,某業界向けシステム開発（サーバー・VM・インフラ設計・構築）,インフラエンジニア,"サーバー構築, インフラ設計, インフラ構築, Windowsサーバー, Linuxサーバー, 仮想環境, VM",70-110万,名古屋市 or テレワーク併用,某業界向けシステム開発。サーバー（VM）・インフラの設計・構築がメイン。民間企業向けシステム（既存または新規）の基本設計～詳細設計～構築～テストを担当。希望に応じてPM・PLなどの上流工程も可能。,"オンプレミスサーバー, Windowsサーバー, Linuxサーバー, 仮想環境(VM)",サーバー（オンプレミス）・インフラの設計・構築経験（複数年～）、Windowsサーバー構築経験、もしくはLinuxサーバー構築経験、仮想環境（VMなど）経験。年齢不問、複数名募集。
T260116-0036,生成AI・AIエージェント関連プロジェクト,AIエンジニア,"生成AI, AIエージェント, Python, クラウド",80-150万,"基本テレワーク, 名古屋市, 大阪市, 首都圏エリア",生成AI（AIエージェント）関連プロジェクト。民間企業向けシステム（既存または新規）の基本設計からテストまでを担当。希望に応じてPM・PLなどの上流工程も可能。,クラウド環境,"生成AI開発経験, AIエージェント開発経験, Python経験, クラウド環境経験。尚可：テックリード経験, AI専門家レベル。外国籍可（日本語ネイティブレベル）, 年齢不問, 複数名募集。"
T260116-0037,DX推進・Power BI案件,ITコンサルタント,PowerBI,55-80万,品川区,"DX推進・Power BI案件, DX推進・全般",,"PowerBI即戦力, 外国籍不可"
T260116-0038,某業界向けシステム開発（テックリード/SEリーダー）,システムエンジニア(SE),"テックリード経験, POC経験, 品質管理, リスク管理, 要件定義, 基本設計, 詳細設計, 製造, テスト, 生成AI開発経験, AIエージェント開発経験, Python, クラウド環境",80～130万,"基本テレワーク, 名古屋市, 大阪市, 首都圏エリア",民間企業向けシステム（既存または新規）におけるテックリード、SEリーダーポジション。品質強化、設計全般、テスト全般を担当。POCからシステム要件定義、構成設計まで。,クラウド環境,"テックリードレベル経験, POC工程以降の全般経験, 品質管理・リスク管理経験, 要件定義～テスト経験, 年齢不問, 外国籍可（日本語ネイティブレベル）"
T260116-0039,情報連携ポータルサイト追加開発,フロントエンドエンジニア,"Vue.js, 基本設計, Azure Functions",～55万,新宿（出社2割／リモート8割）,情報連携ポータルサイトの追加開発案件。基本設計～詳細設計、製造、単体／結合試験まで一貫して対応いただきます。基本設計／詳細設計、開発／テスト、設計書、手順書、調査資料等の各種ドキュメント作成、朝会／夕会、顧客MTG等の打ち合わせ対応。,Azure Functions,Vue.jsによるフロントエンド開発経験（2年以上）、基本設計の作成経験（画面設計、画面遷移図 等）、コミュニケーション能力、勤怠良好な方。リーダー経験、フロント／バックエンド両対応可能な方、Azure Functionsの利用経験尚可。設計～実装まで主体的に対応できる方、チーム内外と円滑に連携できる方。募集1名、40代まで。外国籍不可。
